id;numero;nom_rue;nom_complet;secteur maternelle;secteur elementaire
3136;17;RUE DU CLOS DES ERMITES;17 RUE DU CLOS DES ERMITES;Maternelle Simone Veil;Elémentaire Jules Ferry
3137;8;PLACE DU GENERAL LECLERC;8 PLACE DU GENERAL LECLERC;Maternelle Simone Veil;Elémentaire Jules Ferry
3138;29;RUE EDOUARD NIEUPORT;29 RUE EDOUARD NIEUPORT;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
3139;12;RUE DE LA PROCESSION;12 RUE DE LA PROCESSION;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
3140;4;RUE DE L' HIPPODROME;4 BIS RUE DE L'HIPPODROME;Maternelle Simone Veil;
3141;5;PAS DU PANORAMA;5 PAS DU PANORAMA;;Elémentaire Jules Ferry
3142;25;RUE DES BARTOUX;25 RUE DES BARTOUX;Maternelle des Cottages;Elémentaire des Cottages
3143;46;AVENUE DES LANDES;46 AVENUE DES LANDES;Maternelle des Raguidelles;Elémentaire des Raguidelles
3144;20;RUE DES VELETTES;20 BIS RUE DES VELETTES;Maternelle Saint Exupéry ;Elémentaire Berty  Albrecht
3145;25;CITE ROUGET DE LISLE;25 CITE ROUGET DE LISLE;;
3146;11;RUE CURIE;11 RUE CURIE;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
3147;2;ALLEE DES BERGERONNETTES;2 ALLEE DES BERGERONNETTES;Maternelle des Raguidelles;Elémentaire des Raguidelles
3148;16;RUE SALOMON DE ROTHSCHILD;16 RUE SALOMON DE ROTHSCHILD;Maternelle Noor Inayat Khan Madeleine;Elémentaire Noor Inayat Khan Madeleine
3149;7;ALLEE DES MOUETTES;7 ALLEE DES MOUETTES;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
3150;8;RUE DU FECHERAY;8 RUE DU FECHERAY;Maternelle des Cottages;Elémentaire des Cottages
3151;18;RUE DE LA CERISAIE;18 BIS RUE DE LA CERISAIE;Maternelle Simone Veil;Elémentaire Jules Ferry
3152;24;AVENUE DE FOUILLEUSE;24 AVENUE DE FOUILLEUSE;Maternelle des Raguidelles;Elémentaire des Raguidelles
3153;9;ALLEE DES BERGERONNETTES;9 ALLEE DES BERGERONNETTES;Maternelle des Raguidelles;Elémentaire des Raguidelles
3154;45;CHEMIN DU SYNDICAT DES CULTIVATEURS;45 CHEMIN DU SYNDICAT DES CULTIVATEURS;;Elémentaire Vaillant Jaurès
3155;37;ROUTE DES FUSILLES DE LA RESISTANCE;37 ROUTE DES FUSILLES DE LA RESISTANCE;Maternelle Simone Veil;
3156;24;AVENUE DU GENERAL DE GAULLE;24 AVENUE DU GENERAL DE GAULLE;;Elémentaire des Raguidelles
3157;105;ROUTE DES FUSILLES DE LA RESISTANCE;105 ROUTE DES FUSILLES DE LA RESISTANCE;Maternelle Simone Veil;
3158;24;RUE PAGES;24 RUE PAGES;Maternelle Henri Dunant;Elémentaire Berty  Albrecht
3159;9;RUE DES CHEVREMONTS;9 RUE DES CHEVREMONTS;Maternelle des Cottages;Elémentaire des Cottages
3160;23;RUE DES CARRIERES;23 RUE DES CARRIERES;Maternelle des Raguidelles;Elémentaire des Raguidelles
3161;46;RUE DES ACQUEVILLES;46 RUE DES ACQUEVILLES;Maternelle Edouard Vaillant;Elémentaire Vaillant Jaurès
3162;19;RUE DES BOCHOUX;19 RUE DES BOCHOUX;Maternelle des Cottages;Elémentaire des Cottages
3163;2;RUE DES CARRIERES;2 RUE DES CARRIERES;Maternelle des Raguidelles;Elémentaire des Raguidelles
3164;7;RUE DU CHEMIN VERT;7 RUE DU CHEMIN VERT;Maternelle République;Elémentaire Parc
3165;34;ALLEE DE LA PEPINIERE;34 ALLEE DE LA PEPINIERE;Maternelle des Raguidelles;Elémentaire des Raguidelles
3166;15;RUE DE LA REPUBLIQUE;15 BIS RUE DE LA REPUBLIQUE;Maternelle République;Elémentaire Parc
3167;67;RUE DE LA LIBERTE;67 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
3168;27;RUE DE LA LIBERTE;27 RUE DE LA LIBERTE;Maternelle des Cottages;Elémentaire des Cottages
3169;22;RUE DU CAPITAINE FERBER;22 BIS RUE DU CAPITAINE FERBER;Maternelle Robert Pontillon;Elémentaire Robert Pontillon
3170;28;RUE DES CHENES;28 RUE DES CHENES;Maternelle des Cottages;Elémentaire des Cottages
